Customer_ID,First_Name,Last_Name,Email,Phone,Address,City,State,Registration_Date
CUST00001,Michelle,Williams,lauren69@lawson-collins.com,6015211043,"932 Elizabeth Dale Suite 624, Toddmouth, ND 55400",Murphymouth,Mississippi,2022-08-22
CUST00002,Natalie,Jackson,matthew94@lynch.biz,001-505-631-1528x58308,"7745 Ralph Lodge, Trevinostad, ID 35564",Abigailton,Louisiana,2022-11-05
CUST00003,Elizabeth,Stevens,amorgan@bean.biz,793-270-0515x3485,"535 Mcconnell Ridges Apt. 115, East Kevinview, NM 13335",Lake Maryport,Michigan,2022-10-21
CUST00004,Trevor,Sandoval,jeremy03@yahoo.com,(415)434-1907x864,"USCGC Casey, FPO AE 26931",Sullivanmouth,Illinois,2024-07-01
CUST00005,John,Brown,kristen47@holmes.com,001-749-206-4999x010,"2228 Velazquez Overpass Suite 247, South Ashley, DE 73644",New Mark,Arkansas,2024-08-22
CUST00006,Jeffery,Nelson,hinesbruce@ayala-patterson.com,001-535-315-5927x70619,"77623 Smith Lock, Lake Jeremyton, GA 62718",Christineton,Texas,2023-08-17
CUST00007,Sandra,Anthony,burchlinda@gmail.com,001-575-800-4943x29229,"7324 Pittman Road Suite 684, Johnfurt, MT 38613",Martinezstad,Iowa,2023-06-21
CUST00008,Rebecca,Booker,ambermitchell@mason.biz,273-669-9407x1336,"223 Hannah Mountains, Davidborough, WI 96337",Lake Trevor,Idaho,2023-01-31
CUST00009,Kyle,Osborne,mario51@reilly.net,467.609.1191x407,"2530 Marcus Hills, Marystad, MO 24505",West Brianna,New Hampshire,2023-07-10
CUST00010,Danny,Hill,james36@hotmail.com,1505622859,"021 Caleb Light Apt. 794, Lake Bruce, AR 97293",Port Deannastad,Mississippi,2024-06-26
CUST00011,Caitlin,Cooper,frazieredward@hodge-bridges.biz,756-926-5452x28759,"14382 Amber Harbors Apt. 963, Crystalburgh, TN 46111",South Jesse,Hawaii,2022-06-20
CUST00012,Kyle,Lawrence,patricia27@yahoo.com,182-622-5720,"5949 Randy Parkways Suite 835, Fischerbury, NE 92096",Lake Robertmouth,Kentucky,2023-01-26
CUST00013,Katherine,Harris,brandylang@english.com,757-116-0800,"78818 Lynn Cove, Ericfurt, KS 91058",Port Victoria,Maine,2023-02-20
CUST00014,Richard,Tyler,castillogregory@grant-griffin.com,(725)522-3221x5041,"5519 Laura Common, North Geraldchester, KS 37968",West Fredbury,Illinois,2022-11-17
CUST00015,Cheryl,Guerrero,bauerbrian@crosby-johnson.net,001-336-859-0159,"168 Shawn Circle Suite 571, Lake Ryan, NM 73645",South Cameronburgh,Florida,2022-11-07
CUST00016,Thomas,Black,matthew04@hotmail.com,019.753.9677x8789,"7268 Nicole Creek Suite 694, Kennethville, RI 81584",Carpenterbury,Wyoming,2022-07-27
